episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-101.85327546860712,-119.51914636683047,-110.12302119590159,507.7142857142857,7,2,4000,4000,4000,False,7,1,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-29-59,1654536599,6.037744760513306,6.037744760513306,3235,Kevins-MacBook-Pro.local,127.0.0.1,6.037744760513306,4000,1,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413]","[1600, 74, 52, 63, 94, 1600, 71]",0.12975204779877605,0.8243253861350575,0.15661144031909477,0.49915626573811134,0.0,4305.644,929.013,0.19,21076904.523,2763.791,1447.288,2.195,4000,4000,4000,4000,4000,34.41111111111111,57.199999999999996,0.20000000298023224,4.999999873689376e-05,437.54562,-0.019695217,437.5626,-0.008942055,0.01373156,5.701604,0.0
-101.85327546860712,-119.51914636683047,-110.21932182027518,582.6666666666666,5,2,8000,4000,8000,False,12,2,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-30-11,1654536611,12.423426151275635,18.46117091178894,3235,Kevins-MacBook-Pro.local,127.0.0.1,18.46117091178894,8000,2,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600]",0.1286169834858613,0.8109496795501937,0.1546875496147512,0.49483510276643167,0.0,5087.282,786.275,0.187,21358645.449,2646.122,1511.646,2.101,8000,8000,8000,4000,8000,29.00555555555555,57.42222222222222,0.20000000298023224,4.999999873689376e-05,217.19392,-0.023836562,217.21455,-0.017885,0.016009724,5.633534,0.0
-101.85327546860712,-119.51914636683047,-110.58254710217008,683.1333333333333,3,2,12000,4000,12000,False,15,3,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-30-17,1654536617,5.784165143966675,24.245336055755615,3235,Kevins-MacBook-Pro.local,127.0.0.1,24.245336055755615,12000,3,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55]",0.12790185624632258,0.8098213295994476,0.15452137210187372,0.4954711431401314,0.0,7636.43,523.805,0.185,21601565.665,2591.314,1543.618,1.95,12000,12000,12000,4000,12000,38.2625,57.587500000000006,0.20000000298023224,4.999999873689376e-05,85.14478,-0.024036346,85.16603,-0.086916514,0.013952409,5.620028,0.0
-101.68870294591784,-119.51914636683047,-108.49418347494588,624.0,7,2,16000,4000,16000,False,22,4,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-30-41,1654536641,23.696799993515015,47.94213604927063,3235,Kevins-MacBook-Pro.local,127.0.0.1,47.94213604927063,16000,4,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48]",0.1272930855515602,0.8064502337464389,0.15411052681430146,0.49590097767092567,0.0,7144.295,559.887,0.183,21816925.878,2557.163,1564.233,2.195,16000,16000,16000,4000,16000,25.464705882352945,57.69411764705882,0.20000000298023224,4.999999873689376e-05,333.29495,-0.028228238,333.32,-0.4514724,0.01591149,5.670765,0.0
-89.33642564568359,-127.70564396509467,-107.88468067755845,534.6060606060606,11,2,20000,4000,20000,False,33,5,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-30-46,1654536646,5.2624030113220215,53.20453906059265,3235,Kevins-MacBook-Pro.local,127.0.0.1,53.20453906059265,20000,5,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842, -91.71339703014672, -108.54002274031689, -103.84327397910567, -120.26949145649934, -116.63910764674347, -127.70564396509467, -102.24006274247479, -98.4135290954914, -89.33642564568359, -103.02142171185402, -111.6000498972088]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48, 1600, 50, 73, 108, 62, 124, 59, 116, 1600, 59, 63]",0.12658380432306232,0.7975798139902802,0.15271956203122963,0.4930555692004924,0.0,10412.681,384.147,0.187,21383145.552,2519.31,1587.737,2.363,20000,20000,20000,4000,20000,31.17142857142857,57.74285714285713,0.20000000298023224,4.999999873689376e-05,593.04144,-0.027953396,593.0661,-0.3647263,0.01658212,5.7673955,0.0
-89.33642564568359,-127.73208122171461,-108.0038740673185,585.3846153846154,6,2,24000,4000,24000,False,39,6,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-31-09,1654536669,22.526878118515015,75.73141717910767,3235,Kevins-MacBook-Pro.local,127.0.0.1,75.73141717910767,24000,6,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842, -91.71339703014672, -108.54002274031689, -103.84327397910567, -120.26949145649934, -116.63910764674347, -127.70564396509467, -102.24006274247479, -98.4135290954914, -89.33642564568359, -103.02142171185402, -111.6000498972088, -89.44572725708963, -107.79305381767887, -127.73208122171461, -124.80494840301586, -98.77957224461437, -103.40124332187939]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48, 1600, 50, 73, 108, 62, 124, 59, 116, 1600, 59, 63, 1600, 39, 264, 1600, 85, 1600]",0.1260708622524721,0.7937611854630467,0.15200864853960622,0.49186105142824715,0.0,9573.679,417.812,0.185,21578412.862,2506.017,1596.159,2.298,24000,24000,24000,4000,24000,23.121875000000003,57.415625000000006,0.20000000298023224,4.999999873689376e-05,206.43614,-0.029759105,206.4623,-0.06970225,0.017996507,5.8150854,0.0
-89.33642564568359,-127.73208122171461,-108.2723055885089,495.54901960784315,12,2,28000,4000,28000,False,51,7,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-31-15,1654536675,6.197071075439453,81.92848825454712,3235,Kevins-MacBook-Pro.local,127.0.0.1,81.92848825454712,28000,7,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842, -91.71339703014672, -108.54002274031689, -103.84327397910567, -120.26949145649934, -116.63910764674347, -127.70564396509467, -102.24006274247479, -98.4135290954914, -89.33642564568359, -103.02142171185402, -111.6000498972088, -89.44572725708963, -107.79305381767887, -127.73208122171461, -124.80494840301586, -98.77957224461437, -103.40124332187939, -99.95437792542899, -111.46116660631634, -119.2082986969687, -112.71317918146464, -100.25937454535813, -98.76965382731706, -125.99629010135618, -121.66540204618995, -102.81985488595069, -102.27797117554832, -111.92824945159815, -102.68267794503582]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48, 1600, 50, 73, 108, 62, 124, 59, 116, 1600, 59, 63, 1600, 39, 264, 1600, 85, 1600, 1600, 43, 79, 66, 62, 80, 112, 141, 74, 84, 42, 60]",0.1260443909918969,0.7913384375642691,0.15155363082510107,0.4914372764941752,0.0,11491.616,348.08,0.19,21012795.133,2547.912,1569.913,2.289,28000,28000,28000,4000,28000,35.099999999999994,57.56666666666667,0.20000000298023224,4.999999873689376e-05,660.14044,-0.031312585,660.1677,-0.6163938,0.019896409,5.8330307,0.0
-89.33642564568359,-127.73208122171461,-107.6520631995412,558.1052631578947,6,2,32000,4000,32000,False,57,8,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-31-33,1654536693,18.065567016601562,99.99405527114868,3235,Kevins-MacBook-Pro.local,127.0.0.1,99.99405527114868,32000,8,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842, -91.71339703014672, -108.54002274031689, -103.84327397910567, -120.26949145649934, -116.63910764674347, -127.70564396509467, -102.24006274247479, -98.4135290954914, -89.33642564568359, -103.02142171185402, -111.6000498972088, -89.44572725708963, -107.79305381767887, -127.73208122171461, -124.80494840301586, -98.77957224461437, -103.40124332187939, -99.95437792542899, -111.46116660631634, -119.2082986969687, -112.71317918146464, -100.25937454535813, -98.76965382731706, -125.99629010135618, -121.66540204618995, -102.81985488595069, -102.27797117554832, -111.92824945159815, -102.68267794503582, -97.07496997117293, -95.20672318858722, -104.66177251461832, -93.34565713307146, -106.75856766486662, -117.2323268875784]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48, 1600, 50, 73, 108, 62, 124, 59, 116, 1600, 59, 63, 1600, 39, 264, 1600, 85, 1600, 1600, 43, 79, 66, 62, 80, 112, 141, 74, 84, 42, 60, 1600, 1600, 63, 1600, 1600, 76]",0.12613226539350875,0.7909399972624751,0.15150017089908926,0.49155516305092734,0.0,10822.216,369.61,0.193,20731808.465,2608.045,1533.716,2.283,32000,32000,32000,4000,32000,28.60769230769231,57.76538461538462,0.20000000298023224,4.999999873689376e-05,133.89539,-0.024316533,133.91713,-0.27902216,0.012834736,5.704594,0.0
-89.33642564568359,-127.73208122171461,-107.69673939102404,569.3225806451613,5,2,36000,4000,36000,False,62,9,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-31-39,1654536699,6.167741298675537,106.16179656982422,3235,Kevins-MacBook-Pro.local,127.0.0.1,106.16179656982422,36000,9,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842, -91.71339703014672, -108.54002274031689, -103.84327397910567, -120.26949145649934, -116.63910764674347, -127.70564396509467, -102.24006274247479, -98.4135290954914, -89.33642564568359, -103.02142171185402, -111.6000498972088, -89.44572725708963, -107.79305381767887, -127.73208122171461, -124.80494840301586, -98.77957224461437, -103.40124332187939, -99.95437792542899, -111.46116660631634, -119.2082986969687, -112.71317918146464, -100.25937454535813, -98.76965382731706, -125.99629010135618, -121.66540204618995, -102.81985488595069, -102.27797117554832, -111.92824945159815, -102.68267794503582, -97.07496997117293, -95.20672318858722, -104.66177251461832, -93.34565713307146, -106.75856766486662, -117.2323268875784, -94.31965556479099, -124.41314894457224, -117.96263908043441, -99.83084799178805, -104.50394828805638]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48, 1600, 50, 73, 108, 62, 124, 59, 116, 1600, 59, 63, 1600, 39, 264, 1600, 85, 1600, 1600, 43, 79, 66, 62, 80, 112, 141, 74, 84, 42, 60, 1600, 1600, 63, 1600, 1600, 76, 1600, 128, 70, 1600, 88]",0.12619397647341363,0.7906888204306659,0.15147770637862754,0.4916599728605006,0.0,11620.168,344.229,0.192,20826888.828,2648.751,1510.146,2.266,36000,36000,36000,4000,36000,35.02222222222222,57.6888888888889,0.20000000298023224,4.999999873689376e-05,196.54604,-0.027484221,196.57083,-0.5620791,0.013421183,5.7562613,0.0
-89.33642564568359,-127.73208122171461,-107.45724074131084,601.53125,2,2,40000,4000,40000,False,64,10,36655_00000,3b7c8ae3c8aa4fac953f0d2f54d87006,2022-06-06_12-32-17,1654536737,37.43203401565552,143.59383058547974,3235,Kevins-MacBook-Pro.local,127.0.0.1,143.59383058547974,40000,10,"[-119.18640775028125, -109.75655895818832, -106.46984193558929, -105.16600317676055, -101.85327546860712, -119.51914636683047, -108.90991471505413, -114.92776725282009, -106.30324639608152, -110.00010741345088, -104.45158637930888, -116.08800603032958, -104.29626268132131, -116.1401088294134, -115.6699731785146, -103.3478342204648, -103.67111411987877, -105.62452510274699, -102.20307755976543, -101.95812187039604, -101.68870294591784, -109.64045409708842, -91.71339703014672, -108.54002274031689, -103.84327397910567, -120.26949145649934, -116.63910764674347, -127.70564396509467, -102.24006274247479, -98.4135290954914, -89.33642564568359, -103.02142171185402, -111.6000498972088, -89.44572725708963, -107.79305381767887, -127.73208122171461, -124.80494840301586, -98.77957224461437, -103.40124332187939, -99.95437792542899, -111.46116660631634, -119.2082986969687, -112.71317918146464, -100.25937454535813, -98.76965382731706, -125.99629010135618, -121.66540204618995, -102.81985488595069, -102.27797117554832, -111.92824945159815, -102.68267794503582, -97.07496997117293, -95.20672318858722, -104.66177251461832, -93.34565713307146, -106.75856766486662, -117.2323268875784, -94.31965556479099, -124.41314894457224, -117.96263908043441, -99.83084799178805, -104.50394828805638, -102.43813972004936, -97.62742548035355]","[1600, 74, 52, 63, 94, 1600, 71, 1600, 104, 55, 79, 1600, 1600, 1600, 55, 1600, 1600, 53, 47, 71, 62, 48, 1600, 50, 73, 108, 62, 124, 59, 116, 1600, 59, 63, 1600, 39, 264, 1600, 85, 1600, 1600, 43, 79, 66, 62, 80, 112, 141, 74, 84, 42, 60, 1600, 1600, 63, 1600, 1600, 76, 1600, 128, 70, 1600, 88, 1600, 1600]",0.12620883412469672,0.7906978156126037,0.15148465245383966,0.49177432350148015,0.0,11086.921,360.785,0.191,20947953.552,2681.865,1491.5,2.31,40000,40000,40000,4000,40000,23.200000000000006,57.59811320754717,0.20000000298023224,4.999999873689376e-05,18.933138,-0.028997192,18.959337,0.0038051018,0.014003672,5.5881815,0.0
